是一只小猪ya,男,IP属地：浙江,8k和hdr好像不能同时放[笑哭][笑哭][笑哭]
千束_小天使_,保密,IP属地：陕西,@武装雪乃
希音Hichan,保密,IP属地：江西,封面自取[莉可丽丝_微笑]
C一筱,男,IP属地：安徽,求封面[爱心][爱心]
碳的六阶运动ing,保密,IP属地：内蒙古,不会吧我这手机竟然没有压力……就是切屏动画卡顿
AI识片酱,保密,IP属地：上海,"终于想起我了么，唔那我勉为其难帮你识别一下吧..不过片酱刚起床有点懵，识别错误的话下次一定会更努力的！（鞠躬）
【视频正片】
1. 《十字路口2018》:04:03-04:05
【音乐信息】
1. 《Mine (Illenium Remix)》:00:01-04:05
--up创作不易，一键三连必需[打call][打call][打call]"
严重缺乏古见度,保密,IP属地：广东,有实力这个视频的hdr我现在这个手机居然卡的放不出来[吃瓜]得换了，换完再来看看
黑川赤音_,男,IP属地：广东,[打call]
希音Hichan,保密,IP属地：山东,"8K240HDRHires原视频在这里，有需要的小伙伴自取哦[莉可丽丝_高兴]【超级会员V10】通过百度网盘分享的文件：8K240Hir…
链接:https://pan.baidu.com/s/1KHoer7TNR-jZrQjfRrtdWg 
提取码:1314
复制这段内容打开「百度网盘APP 即可获取」"
电棍_official,男,IP属地：天津,666播放[星星眼]
不当人的带土,男,IP属地：陕西,第一[星星眼]
